"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.420010480E-1,-1.496376062E-4,2.208651006E-1,9.744475365E0,9.746978073E0
5.445242420E-1,8.155249991E-3,2.148796022E-1,9.754052162E0,9.756422158E0
5.470473140E-1,-3.740940243E-3,2.136825025E-1,9.748066902E0,9.750409352E0
5.495703840E-1,1.054945122E-2,2.029085904E-1,9.751658440E0,9.753774936E0
5.520931300E-1,5.835866556E-3,2.172738016E-1,9.742081642E0,9.744505974E0
5.546164050E-1,1.646013744E-2,2.100912035E-1,9.760038376E0,9.762313166E0
5.571393140E-1,6.958148908E-3,2.208651006E-1,9.750461578E0,9.752965231E0
5.596623850E-1,-2.618658124E-3,2.171989828E-1,9.754052162E0,9.756470460E0
5.621854160E-1,4.563947208E-3,2.148047835E-1,9.757643700E0,9.760008837E0
5.647084870E-1,5.761047825E-3,2.220622003E-1,9.748066902E0,9.750597579E0
5.672316000E-1,-3.740940243E-3,1.969230920E-1,9.745597839E0,9.747587904E0
5.697545080E-1,8.230068721E-3,2.268506140E-1,9.737367630E0,9.740013208E0
5.722775790E-1,-1.346738427E-3,2.267757952E-1,9.740884781E0,9.743524280E0
5.748009360E-1,5.611410365E-3,2.219873816E-1,9.745822906E0,9.748352374E0
5.773239260E-1,-8.678981103E-3,2.004395723E-1,9.738565445E0,9.740631821E0
5.798314530E-1,8.978256374E-4,2.219873816E-1,9.732654572E0,9.735185885E0
5.823701090E-1,-1.099836361E-2,2.052279711E-1,9.738565445E0,9.740733874E0
5.848930990E-1,2.835632674E-2,2.136825025E-1,9.737517357E0,9.739902903E0
5.874158860E-1,1.047463249E-2,2.124105841E-1,9.738639832E0,9.740961644E0
5.899389970E-1,1.997661963E-2,2.195931822E-1,9.745897293E0,9.748391369E0
5.924621500E-1,-9.801262990E-3,2.148047835E-1,9.736170769E0,9.738544984E0
5.949851400E-1,9.202713147E-3,2.195931822E-1,9.749413490E0,9.751890548E0
5.975079680E-1,2.244564146E-2,2.005892098E-1,9.730335236E0,9.732428455E0
6.000312820E-1,6.808510982E-3,2.136076838E-1,9.745822906E0,9.748165916E0
